AcademicYear,SchoolName,SuspensionRate,DefianceRate,ViolentInjuryRate,ViolentNonInjuryRate,WeaponPossessionRate,DrugSuspensionRate,OtherSuspensionRate
2020-01-08,"Terra Linda High",0.1661,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
2020-01-08,"Tomales Elementary",3.3708,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
2020-01-08,"Tomales High",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Vallecito Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Venetia Valley K-8",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2020-01-08,"Wade Thomas Elementary",2.9412,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
2020-01-08,"West Marin Elementary",2.6316,100.0000,0.0000,0.0000,0.0000,0.0000,100.0000
2020-01-08,"White Hill Middle",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2021-01-08,"Adaline E. Kent Middle",1.1765,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
2021-01-08,"Anthony G. Bacich Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2021-01-08,"Archie Williams High",2.1978,0.0000,20.0000,40.0000,0.0000,40.0000,0.0000
2021-01-08,"Bahia Vista Elementary",1.0239,0.0000,0.0000,66.6667,33.3333,0.0000,0.0000
2021-01-08,"Bayside Martin Luther King Jr. Academy",3.1008,0.0000,25.0000,50.0000,25.0000,0.0000,0.0000
2021-01-08,"Bel Aire Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2021-01-08,"Bodega Bay Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2021-01-08,"Bolinas-Stinson Elementary",3.8462,100.0000,0.0000,0.0000,0.0000,0.0000,100.0000
2021-01-08,"Brookside Elementary",2.8571,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
2021-01-08,"Coleman Elementary",0.4525,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
2021-01-08,Cove,0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2021-01-08,"Del Mar Middle",3.3333,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
2021-01-08,"District Office",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2021-01-08,"Edna Maguire Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2021-01-08,"Glenwood Elementary",5.7971,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
2021-01-08,"Hall Middle",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2021-01-08,"Hamilton Meadow Park",4.1131,20.6897,6.8966,48.2759,6.8966,3.4483,24.1379
2021-01-08,"Hidden Valley Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2021-01-08,"Inverness Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2021-01-08,"James B. Davidson Middle",2.8536,0.0000,10.3448,79.3103,3.4483,6.8966,0.0000
2021-01-08,"Laguna Elementary",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2021-01-08,"Lagunitas Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2021-01-08,"Laurel Dell Elementary",0.4000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
2021-01-08,"Lincoln Union",NULL,NULL,NULL,NULL,NULL,NULL,NULL
2021-01-08,"Loma Verde Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2021-01-08,"Lu Sutton Elementary",0.4329,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000
2021-01-08,"Lucas Valley Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
2021-01-08,"Lynwood Elementary",0.0000,NULL,NULL,NULL,NULL,NULL,NULL
