AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,TotalSuspensions,TotalSusStudents,TotalDefiance,SuspensionRate,SuspensionViolent_Injury,NonInjury_Violent_Suspension,Weapon_possession_suspension,Drug_Suspensino_Defiance,Other_Suspension_Reason
2020-01-08,S,21,65318,6024202,Marin,"Miller Creek Elementary","Miller Creek Middle","No ",Total,704,10,9,0,1.3,0,5,0,5,0
2020-01-08,S,21,65318,1,Marin,"Miller Creek Elementary","Nonpublic, Nonsectarian Schools","No ",Total,12,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65318,6024244,Marin,"Miller Creek Elementary","Vallecito Elementary","No ",Total,427,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65409,6024483,Marin,Nicasio,Nicasio,"No ",Total,37,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65417,6024491,Marin,"Novato Unified","Hamilton Meadow Park","No ",Total,593,3,3,1,0.5,1,1,0,0,1
2020-01-08,S,21,65417,6024509,Marin,"Novato Unified","Loma Verde Elementary","No ",Total,440,1,1,0,0.2,0,1,0,0,0
2020-01-08,S,21,65417,6024517,Marin,"Novato Unified","Lu Sutton Elementary","No ",Total,351,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65417,6024525,Marin,"Novato Unified","Lynwood Elementary","No ",Total,310,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65417,2132264,Marin,"Novato Unified","Marin Oaks High","No ",Total,106,4,3,1,2.8,0,1,0,2,1
2020-01-08,S,21,65417,1,Marin,"Novato Unified","Nonpublic, Nonsectarian Schools","No ",Total,44,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65417,2130045,Marin,"Novato Unified","Nova Education Center","No ",Total,81,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65417,6113229,Marin,"Novato Unified","Novato Charter",Yes,Total,285,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65417,2132272,Marin,"Novato Unified","Novato High","No ",Total,1477,3,3,0,0.2,2,1,0,0,0
2020-01-08,S,21,65417,6024558,Marin,"Novato Unified","Olive Elementary","No ",Total,370,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65417,6024574,Marin,"Novato Unified","Pleasant Valley Elementary","No ",Total,398,0,0,0,0,0,0,0,0,0
2020-01-08,S,21,65417,6024582,Marin,"Novato Unified","Rancho Elementary","No ",Total,369,2,1,0,0.3,1,1,0,0,0
